1 2 3
9 6 192
13 4 82
7 8 200
2 3 49
10 6 25
10 15 225
13 5 243
7 11 50
16 2 142
16 13 35
2 5 228
3 11 237
9 5 252
9 3 227
10 2 227
4 2 38
2 6 32
6 11 90
5 6 118
11 10 183
8 9 136
9 1 177
10 8 219
11 8 16
12 4 253
13 1 194
14 12 61
15 5 235
16 7 15
17 7 24
1 2 228
5 3 203
4 16 275
2 16 25
17 5 167
17 10 205
7 4 189
14 9 256
13 11 280
11 6 265
10 1 187
5 1 284
7 5 208
13 12 101
1 6 121
8 6 249
9 7 20
11 7 252
16 8 31
10 7 249
16 11 91
2 5 99
12 7 15
12 17 206
10 3 12
7 8 172
14 6 229
13 6 134
17 4 108
14 5 100
9 11 214
4 5 212
10 16 282
17 9 104
3 13 93
1 15 149
9 3 266
6 15 130
9 12 151
5 10 57
15 12 238
13 10 6
7 3 103
6 12 83
2 8 216
17 15 271
15 10 43
13 7 164
8 13 257
2 12 170
5 13 51
7 2 200
3 17 234
9 4 265
13 4 151
6 10 205
14 8 116
17 16 118
16 13 212
16 9 184
6 3 33
11 1 37
12 16 55
16 14 171
9 5 92
1 17 254
6 7 281
4 1 76
10 12 105
11 2 232
14 1 253
6 17 32
8 3 231
3 14 101
6 5 193
15 7 198
8 15 162
11 10 126
11 15 112
1 8 55
11 4 79
4 15 210
4 6 90
2 6 12
16 15 73
3 4 78
15 14 7
8 5 48
3 15 221
2 9 267
12 3 71
2 14 181
8 9 4
1 7 117
12 8 58
9 13 150
10 9 248
16 6 34
7 14 74
11 17 9
2 13 281
4 10 186
14 17 246
11 12 229
3 2 149
14 10 275
6 9 210
13 14 240
2 15 200
4 8 56
5 16 209
12 1 99
2 10 277
17 2 20
3 16 258
8 17 159
4 2 88
14 4 52
16 1 77
9 15 116
14 11 109
11 3 184
15 13 35
17 13 10
1 3 19
5 12 103
11 5 11
9 9 153
10 1 193
11 3 1
12 8 296
13 9 131
14 1 118
15 10 155
16 8 179
17 1 289
18 8 11
1 2 268
9 12 291
11 2 50
3 4 87
12 11 29
13 14 17
9 2 322
2 10 202
17 14 183
6 8 127
12 17 110
12 4 310
14 7 73
5 16 30
16 9 61
16 17 240
14 18 133
16 6 81
3 6 110
1 6 128
7 16 153
11 16 193
7 8 263
15 13 42
13 2 143
11 7 73
11 17 285
18 2 38
7 3 28
7 13 322
4 6 200
17 5 56
10 4 199
1 12 286
16 15 43
15 14 301
15 7 321
3 13 187
14 2 5
10 17 205
13 8 153
12 7 305
13 16 267
8 4 136
4 11 22
17 4 55
3 18 271
1 8 289
1 11 227
7 2 301
10 12 176
14 4 320
15 9 151
7 18 116
5 3 263
12 16 200
16 4 294
15 8 245
15 3 256
16 1 304
2 12 286
8 10 94
17 3 42
17 18 134
6 18 236
15 12 3
3 10 255
6 13 40
18 10 182
5 6 55
8 14 209
6 15 169
9 14 104
5 4 302
1 5 279
9 8 183
8 2 321
16 3 309
13 4 84
16 18 223
6 11 223
3 12 61
4 7 118
9 7 279
9 6 32
10 13 32
5 7 290
4 9 65
15 11 108
17 6 0
13 11 121
16 14 271
14 3 133
18 1 26
2 5 133
5 11 300
12 6 280
10 14 290
13 12 319
6 7 127
5 15 221
1 15 160
10 5 140
2 15 29
18 5 66
9 18 234
16 2 308
10 6 259
9 17 294
4 1 209
18 13 190
5 8 203
1 7 145
17 13 63
2 3 198
2 6 134
2 17 118
12 14 251
2 4 233
17 15 242
1 13 110
3 1 265
5 13 121
6 14 220
11 18 211
10 11 28
15 4 100
9 3 141
7 17 27
8 3 204
11 9 28
8 17 224
14 11 45
10 16 315
9 1 161
12 18 90
4 18 99
5 12 187
5 9 104
7 10 183
8 11 180
18 15 194
10 9 69
14 5 51
9 10 171
10 1 360
11 3 337
12 4 74
13 4 250
14 1 105
15 4 50
16 14 224
17 4 78
18 15 1
19 12 292
1 2 249
15 1 158
19 10 213
9 16 226
17 12 226
11 5 324
7 5 214
12 14 305
11 7 136
10 16 77
2 4 338
2 7 144
11 2 42
9 15 167
4 7 149
6 13 248
13 2 345
2 5 60
11 18 137
5 17 105
14 6 321
15 10 101
7 3 349
13 19 324
12 18 96
13 3 156
1 9 313
11 14 19
5 19 280
11 6 316
11 15 28
13 9 146
13 14 237
18 1 196
8 12 247
5 16 75
13 12 326
6 4 112
11 1 48
1 12 3
18 13 199
3 5 25
6 3 237
7 17 287
18 17 233
17 8 249
17 15 98
8 16 164
6 16 250
18 3 231
19 9 348
16 11 101
13 1 83
11 12 290
19 15 249
7 8 83
8 4 164
4 10 151
19 1 192
3 15 62
6 8 268
12 15 203
4 14 62
18 2 123
3 10 94
4 19 307
5 12 291
14 9 81
6 9 89
8 13 297
5 13 2
8 19 61
17 3 68
3 1 65
6 12 151
11 4 331
10 6 351
6 7 117
5 18 279
10 14 348
14 3 320
2 14 83
2 9 87
18 7 280
3 9 180
2 15 46
19 7 39
3 12 150
9 10 82
14 18 167
3 16 152
19 16 309
18 6 92
15 6 1
16 17 201
5 10 219
3 8 284
8 10 128
8 18 217
4 1 51
16 15 128
12 10 341
2 19 41
9 4 303
16 4 104
12 7 104
10 13 99
17 2 175
14 7 4
2 3 9
5 14 348
9 8 283
17 10 5
14 17 165
7 13 248
13 15 128
11 9 276
15 5 275
12 16 322
2 12 223
15 14 158
7 10 13
1 8 285
4 3 192
19 14 31
8 11 217
17 6 118
14 8 275
4 5 343
13 16 16
9 12 170
18 10 181
2 10 339
1 16 191
11 19 256
18 4 62
19 17 268
6 2 5
8 2 297
5 9 161
1 5 30
5 8 328
19 6 11
9 17 156
11 17 5
18 19 247
5 6 85
7 15 179
10 11 336
16 18 330
1 17 196
3 19 345
16 7 73
7 1 346
7 9 356
8 15 74
16 2 7
13 17 56
1 6 333
9 18 332
11 13 90
10 10 190
11 1 361
12 3 253
13 5 79
14 1 156
15 8 117
16 8 110
17 2 29
18 11 149
19 11 278
20 13 381
1 2 236
4 5 191
14 3 253
20 3 231
20 4 333
13 2 12
6 19 67
8 12 96
15 2 58
5 20 39
13 3 76
4 9 269
18 14 40
20 15 238
4 17 202
17 19 280
7 6 67
18 2 233
11 20 230
11 3 364
19 5 47
16 19 39
8 3 138
15 10 155
11 8 387
17 5 54
9 17 328
11 7 31
10 11 67
10 19 277
9 18 39
20 19 344
12 4 347
19 12 64
13 17 281
14 8 393
3 18 12
4 8 289
1 12 163
16 20 202
14 11 218
19 1 242
12 15 245
2 8 332
2 19 125
10 8 137
6 9 40
1 5 336
16 1 375
19 7 34
2 20 286
4 1 305
5 18 287
13 10 179
10 6 375
10 14 134
5 15 392
3 7 129
7 18 80
6 18 172
11 17 1
8 13 215
16 7 265
7 13 136
8 19 179
12 16 352
13 12 142
17 15 135
18 15 240
9 16 317
13 4 351
2 12 267
10 4 382
6 8 109
11 4 76
6 1 202
6 5 265
20 17 375
12 20 237
4 7 346
19 9 360
6 20 247
16 4 275
13 16 77
5 8 170
4 6 107
15 11 260
14 9 180
16 17 315
9 11 375
1 7 368
14 17 118
18 20 345
6 12 7
17 7 214
16 3 182
1 3 17
12 10 262
10 7 99
17 12 110
19 14 35
10 9 291
20 10 365
1 8 16
14 12 320
18 19 50
11 6 99
15 13 242
5 10 62
14 7 368
17 3 84
20 7 376
6 2 231
10 16 355
19 13 262
18 12 2
6 14 39
7 8 271
13 9 54
2 4 10
15 1 276
13 6 267
19 4 383
2 7 295
4 3 257
16 5 261
11 2 344
2 14 362
11 12 155
13 11 50
16 11 113
6 3 268
12 9 4
18 4 220
15 7 60
6 16 387
10 18 303
2 9 92
17 8 258
20 9 287
5 11 184
1 18 387
17 18 67
3 5 393
4 15 315
17 1 363
1 10 32
5 12 4
13 1 202
15 14 256
2 3 399
8 20 89
16 18 191
5 7 39
8 18 223
1 9 261
3 9 125
9 15 226
8 9 209
6 15 244
5 2 332
7 12 42
1 20 355
13 18 391
16 14 200
14 13 274
5 9 153
2 10 196
16 2 191
14 5 399
4 14 3
9 7 311
17 10 53
15 19 348
17 6 152
3 10 0
20 14 349
16 15 105
3 15 106
19 3 41
10 11 210
11 1 293
12 2 238
13 1 40
14 1 420
15 5 344
16 5 93
17 13 433
18 6 358
19 12 328
20 16 278
21 16 381
1 2 412
7 6 252
10 5 128
8 5 47
11 21 295
18 1 400
5 3 52
9 16 152
8 9 39
14 16 108
19 4 48
21 4 347
4 8 248
8 16 371
9 13 224
10 17 393
19 3 112
3 10 162
20 1 299
10 16 407
7 11 326
11 10 183
18 15 51
6 1 348
10 2 399
11 16 426
9 1 181
3 9 291
13 19 7
20 11 321
12 10 250
8 1 301
7 3 360
20 10 338
20 18 52
20 13 392
20 19 242
10 14 58
8 3 188
20 4 325
4 12 413
5 18 340
17 19 128
6 10 148
9 15 95
16 12 11
13 12 199
4 15 11
17 4 360
17 7 96
18 10 324
3 2 420
10 7 80
9 4 293
12 6 66
12 8 306
19 5 396
6 14 294
7 12 438
21 19 402
17 14 166
4 18 268
13 16 259
8 21 350
18 7 117
1 17 364
21 14 134
17 5 300
14 8 103
12 17 152
19 15 311
15 6 179
7 20 2
3 14 274
7 15 347
10 13 202
2 18 306
12 14 267
9 7 387
1 10 125
21 7 385
11 6 171
9 5 411
3 4 298
10 15 60
11 8 63
8 7 197
16 4 433
1 7 210
15 21 331
14 18 5
14 5 392
19 14 12
8 20 411
12 15 3
20 14 200
5 13 296
1 19 15
14 15 306
2 8 54
10 9 339
4 13 331
17 8 58
16 15 109
17 9 188
2 21 352
13 7 170
11 18 147
14 9 287
13 14 258
15 8 406
5 2 433
12 1 433
8 13 283
21 1 226
3 17 175
18 16 274
9 2 214
11 12 257
19 16 396
20 15 395
11 15 194
11 19 415
13 3 127
5 11 282
1 5 7
4 1 267
2 15 298
4 14 104
19 6 63
6 4 197
21 6 342
15 3 96
19 18 291
16 2 354
5 7 400
12 18 63
2 4 256
9 18 264
21 10 140
7 14 162
8 6 291
3 6 130
6 5 424
9 20 335
13 11 297
9 12 0
9 6 343
1 3 60
14 2 340
21 20 276
6 17 349
10 19 309
2 19 219
17 20 71
5 20 12
3 16 207
6 16 276
18 21 357
18 3 295
8 19 215
7 16 212
21 17 15
20 6 26
11 17 237
12 20 106
17 18 332
17 16 283
2 20 222
13 2 430
17 2 299
17 15 55
5 4 254
21 3 242
5 21 195
13 15 312
10 4 10
1 15 8
6 2 428
11 4 192
18 13 114
2 7 423
3 20 58
7 4 102
12 3 137
13 6 346
11 14 283
12 5 418
8 10 165
18 8 162
7 19 100
1 16 57
11 3 83
11 2 254
9 11 2
21 13 198
21 9 331
9 19 226
21 12 61
11 11 231
12 1 194
13 9 128
14 9 127
15 6 311
16 11 478
17 10 30
18 12 138
19 8 163
20 3 318
21 3 83
22 1 411
1 2 428
7 2 206
10 20 236
7 8 62
1 14 342
3 9 4
7 6 483
20 12 150
2 17 314
22 3 122
6 4 83
6 10 244
3 5 116
9 21 182
20 9 361
5 13 367
8 10 144
19 7 212
11 12 79
1 7 264
6 9 15
9 18 260
1 18 345
8 13 111
17 15 139
2 22 435
19 4 315
7 14 415
18 14 1
18 10 319
13 21 291
11 19 477
3 13 27
10 13 135
7 13 366
21 10 74
10 12 45
5 19 32
7 20 279
19 17 239
6 19 219
9 4 149
1 5 32
4 17 159
5 21 264
16 5 283
7 22 143
18 8 193
18 16 309
21 1 141
19 18 323
15 19 229
21 2 247
21 15 96
16 19 269
6 21 92
1 4 437
8 12 217
17 8 454
12 17 480
11 20 322
1 6 447
17 9 232
13 12 301
10 3 361
20 22 197
13 19 113
22 13 109
8 9 431
6 14 62
22 21 447
13 11 18
21 14 156
9 2 136
3 16 401
10 1 291
19 22 350
14 19 84
21 7 446
17 11 242
21 8 199
17 5 195
5 11 248
6 17 152
14 11 17
12 2 319
8 22 458
13 14 70
2 14 373
1 20 377
15 22 240
21 16 276
16 4 80
5 9 451
21 19 289
3 8 49
4 21 422
3 17 26
21 18 282
20 14 299
8 16 59
10 14 51
9 19 45
5 8 174
14 8 245
17 22 274
19 1 184
9 7 442
16 13 105
5 15 171
18 11 277
18 7 255
2 13 86
8 20 206
4 7 454
11 21 313
22 11 213
12 5 406
1 16 311
5 6 400
18 4 116
4 22 13
18 2 77
20 18 281
6 16 97
15 10 274
16 2 25
17 21 190
5 22 118
22 9 222
6 12 269
12 14 151
19 2 144
15 7 349
11 3 386
19 3 62
7 11 295
18 17 430
4 5 171
16 10 408
4 12 462
5 10 8
9 12 32
7 3 317
4 13 297
15 9 207
17 14 97
20 16 446
13 15 414
2 20 211
4 3 239
2 3 94
2 5 163
12 19 245
14 15 178
17 16 190
1 9 245
11 8 183
8 6 75
16 7 19
22 12 127
4 8 413
22 10 441
16 14 226
11 2 194
3 18 302
16 12 371
2 10 441
10 11 304
15 3 296
4 15 414
6 3 112
7 5 239
6 22 371
11 6 478
22 16 279
14 3 111
10 19 283
4 14 81
1 17 340
3 12 469
17 13 331
13 20 363
15 11 409
12 15 165
12 7 353
5 14 181
22 18 463
10 9 47
4 20 429
2 6 378
18 15 296
9 11 23
6 13 347
8 2 465
1 13 145
15 2 330
17 20 310
15 8 422
1 11 294
20 19 249
15 16 358
14 22 126
20 5 25
17 7 402
8 1 133
2 4 324
11 4 399
10 4 389
21 12 415
18 13 170
5 18 80
9 16 323
10 7 160
1 3 165
6 20 260
20 15 155
20 21 373
15 1 53
18 6 461
11 12 253
12 1 253
13 2 263
14 1 350
15 10 189
16 9 428
17 4 387
18 13 12
19 1 135
20 8 526
21 14 63
22 13 352
23 9 185
1 2 98
6 4 439
4 2 139
18 19 491
6 10 312
11 15 192
2 3 50
5 9 230
3 18 14
20 7 148
21 23 333
21 22 422
23 19 395
19 9 130
23 17 322
1 13 159
22 16 161
16 2 473
22 12 79
15 23 100
14 3 30
9 7 416
22 6 234
11 9 365
10 2 474
4 15 421
3 7 68
3 22 46
11 21 172
21 12 419
8 2 27
8 4 301
13 8 335
15 22 206
17 8 210
2 15 28
8 14 323
12 14 525
4 20 202
20 15 19
21 19 371
18 22 79
20 6 93
18 5 86
19 2 242
10 7 220
1 3 168
9 8 365
22 5 430
12 2 8
8 16 141
12 11 363
22 1 391
23 12 413
12 8 115
18 17 162
3 11 3
10 19 510
7 12 101
1 23 142
20 23 356
4 1 58
4 13 258
9 20 374
2 22 293
22 8 144
3 9 477
6 3 10
10 5 34
7 21 177
21 2 298
18 14 27
3 4 188
22 10 511
15 21 95
1 7 38
6 9 49
16 7 399
16 5 47
22 14 251
17 7 32
1 6 195
4 10 510
8 10 334
5 7 464
6 2 167
7 8 403
8 6 48
1 17 308
10 17 382
16 21 431
7 6 56
17 20 504
16 13 114
16 19 209
14 16 27
8 11 377
4 22 45
19 15 458
11 4 360
19 14 524
15 14 191
1 9 400
9 2 214
2 23 170
3 8 294
15 16 10
4 9 344
17 16 207
20 2 77
15 3 89
13 5 201
23 6 159
3 10 126
18 2 184
12 15 501
16 11 57
16 12 127
16 6 515
14 13 260
17 13 222
6 15 62
23 16 246
7 2 282
22 7 126
21 13 233
8 5 255
10 18 350
15 8 523
3 17 116
23 13 100
1 21 136
6 17 38
7 15 420
20 3 190
8 21 145
5 2 208
3 23 387
23 14 247
21 5 364
14 2 345
23 5 144
10 13 72
12 18 318
19 12 180
13 19 353
21 3 375
19 6 74
16 4 492
18 1 207
10 16 196
20 21 304
13 9 101
3 12 47
13 6 300
1 20 233
1 16 377
17 11 337
18 9 524
2 11 193
11 19 156
9 17 12
18 20 114
12 9 113
11 10 152
1 11 225
15 9 91
13 11 294
17 21 446
11 6 491
13 12 20
11 18 462
18 16 391
3 13 319
14 11 327
11 23 78
10 9 375
19 20 527
1 10 371
23 22 9
4 14 120
18 7 236
21 18 411
19 4 459
10 14 229
4 21 505
17 2 497
1 8 368
8 19 410
4 5 475
10 20 315
8 18 140
3 16 260
5 15 39
23 10 462
20 16 202
19 5 394
19 22 427
14 9 155
22 9 443
7 13 355
15 17 352
13 15 102
11 22 414
17 22 273
12 5 207
14 6 227
22 20 161
12 10 476
19 3 417
7 4 99
3 5 373
20 5 386
21 6 85
11 7 486
14 20 443
13 20 478
12 17 106
21 10 54
4 23 228
19 17 260
12 6 374
18 4 234
5 14 174
5 11 325
18 23 15
17 5 316
14 17 5
7 23 297
20 11 429
14 7 484
6 5 421
21 9 168
18 6 499
1 5 451
8 23 310
19 7 245
12 4 440
18 15 257
15 1 106
20 12 24
12 12 276
13 1 0
14 8 336
15 3 455
16 8 173
17 9 252
18 8 263
19 7 534
20 11 138
21 16 244
22 12 361
23 16 195
24 14 347
1 2 502
19 22 183
4 2 113
13 18 264
13 17 181
10 2 306
17 18 389
15 16 399
18 12 310
12 16 377
17 19 176
11 16 359
7 9 344
19 3 480
11 6 312
20 3 110
3 18 96
14 9 443
5 18 91
23 2 382
7 17 236
7 1 278
13 23 33
12 14 438
7 16 548
9 2 68
14 10 383
12 9 260
10 7 124
22 5 461
12 6 574
16 4 479
23 10 59
10 4 204
19 5 144
8 6 528
18 24 171
13 24 280
22 13 120
12 20 236
11 18 29
14 22 261
24 17 337
18 21 481
18 10 536
21 3 116
1 18 396
2 14 301
10 15 514
8 5 31
5 4 359
6 13 323
23 5 260
5 1 336
6 19 156
7 8 461
13 10 492
15 1 430
22 21 333
21 23 75
8 20 532
6 1 145
24 3 328
4 13 245
20 7 440
24 6 373
3 6 362
2 17 190
8 17 335
6 7 562
21 9 314
24 2 528
24 16 297
7 12 95
15 8 539
15 9 364
5 6 359
13 15 459
3 9 540
6 14 410
18 6 337
6 15 37
10 16 541
19 24 139
18 19 183
21 12 267
23 24 395
4 21 433
10 6 416
23 11 476
16 20 323
23 14 386
21 2 498
1 21 228
10 17 367
9 4 507
21 6 108
3 5 122
14 1 329
1 12 7
19 15 306
4 1 562
3 1 62
6 22 443
4 19 485
4 24 203
13 20 541
16 2 287
15 21 174
4 8 347
16 13 402
14 20 204
17 11 407
5 13 502
20 18 242
14 16 544
13 12 328
2 11 454
14 5 503
21 11 330
22 24 391
19 20 211
2 8 424
12 8 436
22 4 87
11 7 347
3 16 4
23 6 441
10 11 216
17 4 24
12 19 129
2 6 492
15 18 415
22 20 229
9 20 107
2 15 76
4 7 155
7 15 254
7 2 312
17 16 459
18 16 411
11 22 411
17 23 20
4 23 227
22 1 460
5 20 513
4 12 112
22 18 82
3 8 308
21 19 532
23 15 88
7 14 130
14 11 521
14 15 508
7 23 448
1 19 483
6 17 322
22 23 111
12 24 148
18 2 249
18 7 186
10 24 396
5 16 426
19 23 482
11 8 435
8 23 295
1 17 204
1 8 444
6 4 438
14 13 431
2 19 161
17 22 423
15 12 502
3 12 189
20 6 460
3 4 570
16 19 78
24 1 103
13 9 334
20 15 249
13 8 364
18 4 164
11 19 473
17 20 103
2 3 371
23 12 170
21 8 370
21 10 159
10 20 386
10 8 59
4 15 288
23 3 1
3 10 127
19 13 295
14 19 456
1 16 281
12 11 531
5 12 205
2 5 430
10 1 433
5 24 554
14 21 433
22 16 365
23 9 551
5 7 567
9 6 48
4 11 148
6 16 491
5 10 157
21 7 487
24 8 298
12 17 465
3 7 77
13 2 573
9 1 123
9 10 16
19 10 507
13 7 419
17 3 251
9 22 69
9 18 411
22 15 293
15 24 142
18 23 507
20 21 528
10 12 542
2 12 288
11 3 81
17 15 232
11 13 315
24 20 4
9 8 437
14 18 484
17 21 187
16 9 322
20 1 46
5 11 365
11 9 435
2 20 190
22 2 353
24 9 390
17 5 79
21 5 194
1 23 448
22 8 120
21 24 144
23 20 159
19 8 251
7 24 72
5 9 113
22 7 78
11 1 298
13 3 179
14 3 404
4 14 351
17 14 292
9 19 525
3 22 355
11 24 349
13 21 417
5 15 418
15 11 513
10 22 430
4 20 320
12 13 300
13 1 381
14 10 544
15 13 56
16 1 305
17 10 242
18 4 491
19 9 194
20 7 481
21 6 572
22 20 295
